word
అంకమ్మసోకాలు :
"అంకిళ్లు,"
"అంకెవేసికొను, అంకెవైచికొను"
అంగబిల్ల (ళ్లి)
"అంగారి, అంగారిక, అంగారిణి"
అంగుల్యగ్రం న తేనై వాంగుల్యగ్రేణ స్పృశ్యతే :
"అంగుళిత్రము, అంగుళిత్రాణము"
"అంఘ్రిపర్ణిక, అంఘ్రిపల్లిక,"
అంచనదారుడు :
"అంచియ, అంచె"
"అంటకట్టు, అంటకట్టుకొను,"
"అంటుకత్తియ, అంటుకత్తె,"
అంత:కంకాళము
అంత:కవచము
అంత:కుహరము
అంత:ఖండము
అంత:పరాన్నజీవి
అంత:పార్శ్వము
అంత:ప్రసరము
"అంతగమనము,"
"అక్రోటిరి, ధెకెలియా"
మూస:అక్షరానుసార పట్టిక
అక్ష్యండభేషజన్యాయము :
అగ్నిచయనము :
అచింత్యాః ఖలు యే భావా న తాం స్తర్కేణ సాధయేత్ :
అచ్చలము :
"అణకువ,"
అత్యారూడి :
అద్దములోని నీడకు ఆసవడు :
అధ:కరణము
అధ:కారము
అధ:కారి
అధఃస్తరము :
"అధరపానము,"
అనంత :
"అనాగతవిధాత,"
అనుబంధం:ఇంటిపేర్లు/అ
అనుబంధం:ఇంటిపేర్లు/ఆ
అనుబంధం:ఇంటిపేర్లు/ఇ
అనుబంధం:ఇంటిపేర్లు/ఈ
అనుబంధం:ఇంటిపేర్లు/ఉ
అనుబంధం:ఇంటిపేర్లు/ఊ
అనుబంధం:ఇంటిపేర్లు/ఋ
అనుబంధం:ఇంటిపేర్లు/ఎ
అనుబంధం:ఇంటిపేర్లు/ఏ
అనుబంధం:ఇంటిపేర్లు/ఐ
అనుబంధం:ఇంటిపేర్లు/ఒ
అనుబంధం:ఇంటిపేర్లు/ఓ
అనుబంధం:ఇంటిపేర్లు/క
అనుబంధం:ఇంటిపేర్లు/ఖ
అనుబంధం:ఇంటిపేర్లు/గ
అనుబంధం:ఇంటిపేర్లు/ఘ
అనుబంధం:ఇంటిపేర్లు/చ
అనుబంధం:ఇంటిపేర్లు/ఛ
అనుబంధం:ఇంటిపేర్లు/జ
అనుబంధం:ఇంటిపేర్లు/ట
అనుబంధం:ఇంటిపేర్లు/డ
అనుబంధం:ఇంటిపేర్లు/త
అనుబంధం:ఇంటిపేర్లు/ద
అనుబంధం:ఇంటిపేర్లు/ధ
అనుబంధం:ఇంటిపేర్లు/న
అనుబంధం:ఇంటిపేర్లు/ప
అనుబంధం:ఇంటిపేర్లు/బ
అనుబంధం:ఇంటిపేర్లు/భ
అనుబంధం:ఇంటిపేర్లు/మ
అనుబంధం:ఇంటిపేర్లు/య
అనుబంధం:ఇంటిపేర్లు/ర
అనుబంధం:ఇంటిపేర్లు/ల
అనుబంధం:ఇంటిపేర్లు/వ
అనుబంధం:ఇంటిపేర్లు/శ
అనుబంధం:ఇంటిపేర్లు/ష
అనుబంధం:ఇంటిపేర్లు/స
అనుబంధం:ఇంటిపేర్లు/హ
అనుభోగ :
మూస:అనుమతి
"అనుమేయము,"
"అనుయాత,"
"అనుయోక్త,"
"అనురాధ,"
"అనెడి,"
"అపహరింత,"
అభ్యంతరాశ్చ సముదాయేఽవయవాః :
అమ్ము (ఇంటి పేరు)
అయోడిన్-131
అరత(న్)
అరయ(న్)
అరుంధతీ(నక్షత్ర)ప్రదర్శనన్యాయం
అఱుగ(న్)
అల్యూమినియం-27
అవహారము :
అశక్తా స్తత్పదం గంతుం తతో నిందాం ప్రకుర్వతే :
"అశ్వతరీగర్భ, వృశ్చికీగర్భ న్యాయము"
అష్ట గంధాలు :
అష్ట-ప్రాతిహార్యములు :
అష్టవిధ ప్రమాణాలు :
అహికుండలన్యాయం :
ఆ(శ)(స)
"ఆంటిగువా, బార్బుడా"
మూస:ఆంధ్రప్రదేశ్‌
ఆక్సిజన్-16
ఆక్సిజన్-17
ఆక్సిజన్-18
"ఆబంధము,"
మూస:ఆమ్రేడితం
ఆరుమూడుగాని మూడారుగాని :
ఆర్గాన్-36
ఆర్గాన్-38
ఆర్గాన్-40
ఆశ్చర్యపడు :
మూస:ఇంటిపేరు
ఇచ్చ(చ్ఛ)
ఇత:పరము
ఇనుము-54
ఇనుము-56
ఇనుము-57
ఇనుము-58
మూస:ఇవ్వబడిన పేరు
ఉత్తర సైప్రస్ (టర్కీ)
ఊదా రంగు (ఎక్కువ)
ఋతుడు :
ఏకోనపంచాశత్‌-ఉపపాతకములు :
ఐనప్పటికి(ని)
ఒంటరికాడు(గాడు)
ఒంటికాడు(గాడు)
"ఒంటికొమ్ముదేవర,"
ఒల్లె పెట్టుకొని సాదుడు :
"ఓసరిలు,"
"కంచులి,"
"కంటికి కన్ను, పంటికి పన్ను"
"కదళీవంధ్య, కాకవంధ్య."
"కపటత,"
"కరస్థబిల్వన్యాయము, కరవిన్యస్తబిల్వన్యాయము"
"కరివదనుడు,"
"కలుహారము,"
"కవి సమ్మేళనం,"
"కవిత,"
"కసవు,"
కార్బన్-12
కార్బన్-13
కార్బన్-14
కాల్షియం-40
కాల్షియం-42
కాల్షియం-43
కాల్షియం-44
కాల్షియం-45
కాల్షియం-46
కాల్షియం-48
"కాష్ఠమఠి,"
కుక్క దువ్వెన (స్టీలు)
కుక్క బిస్కట్లు (చిన్నరకము)
కుక్క బిస్కట్లు (మధ్య రకము)
