Unnamed: 0,word,file_path,saved
36100,ద్వాత్రింశత్‌-గుణములు,,False
36101,ద్వాత్రింశత్‌-తంత్రయుక్తులు,,False
36102,ద్వాత్రింశత్‌-ప్రచారములు,,False
36103,ద్వాదశ జ్యోతిర్లింగాలు,,False
36104,ద్వాదశ దానములు,,False
36105,ద్వాదశ పుత్రులు,,False
36106,ద్వాదశ పుష్కర తీర్థములు,,False
36107,ద్వాదశ భావాలు,,False
36108,ద్వాదశ-అదిత్యులు,,False
36109,ద్వాదశ-అప్సరసలు,,False
36110,ద్వాదశ-అవతారములు,,False
36111,ద్వాదశ-ఆలింగనములు,,False
36112,ద్వాదశ-కళలు,,False
36113,ద్వాదశ-గంధర్వులు,,False
36114,ద్వాదశ-తుషితులు,,False
36115,ద్వాదశ-నియమములు,,False
36116,ద్వాదశ-భావములు,,False
36117,ద్వాదశ-వ్యాకరణాంగములు,,False
36118,ద్వాదశ-సాధ్యులు,,False
36119,ద్వాదశ-స్థానములు,,False
36120,ద్వాదశకము,,False
36121,ద్వాదశదానములు,,False
36122,ద్వాదశమాసములు,,False
36123,ద్వాదశము,,False
36124,ద్వాదశముఖరుద్రాక్ష,,False
36125,ద్వాదశాదిత్యులు,,False
36126,ద్వాదశారాధ్యులు,,False
36127,ద్వాదశావస్థలు,,False
36128,ద్వాపరము,,False
36129,ద్వాపరయుగము,,False
36130,ద్వార,,False
36131,ద్వారంబంధము,,False
36132,ద్వారక,,False
36133,ద్వారకాపట్టణము,,False
36134,ద్వారకాపురం,,False
36135,ద్వారచతుష్టయబంధనక్రమము,,False
36136,ద్వారదర్శనము,,False
36137,ద్వారబంధములు,,False
36138,ద్వారబంధాలు,,False
36139,ద్వారములు,,False
36140,ద్వారా,,False
36141,ద్వారాలు,,False
36142,ద్వావరసేయుట,,False
36143,ద్వావింశతి-గమకములు,,False
36144,ద్వావింశతి-నిగ్రహస్థానములు,,False
36145,ద్వావింశతి-వివాదస్థానములు,,False
36146,ద్వావింశతివివాదస్థానములు,,False
36147,ద్వికటుకములు,,False
36148,ద్వికము,,False
36149,ద్విగు సమాస సంధి,,False
36150,ద్విగు సమాసం,,False
36151,ద్విగు సమాసము,,False
36152,ద్విగుణాధిస్ఫురితము,,False
36153,ద్విగుణితము,,False
36154,ద్విగుణీకరణము,,False
36155,ద్విగుణీకృతము,,False
36156,ద్విగువు,,False
36157,ద్విచక్రవాహనము,,False
36158,ద్విజ,,False
36159,ద్విజన్మము,,False
36160,ద్విజన్మలు,,False
36161,ద్విజన్ముడు,,False
36162,ద్విజపతి,,False
36163,ద్విజము,,False
36164,ద్విజరాజు,,False
36165,ద్విజలింగి,,False
36166,ద్విజవాహనుడు,,False
36167,ద్విజాతి,,False
36168,ద్విజి,,False
36169,ద్విజిహ్యుడు,,False
36170,ద్విజిహ్వ,,False
36171,ద్విజిహ్వము,,False
36172,ద్విజిహ్వుడు,,False
36173,ద్విజుడు,,False
36174,ద్విజ్య,,False
36175,ద్విజ్యామార్గము,,False
36176,ద్వితయము,,False
36177,ద్వితీయ,,False
36178,ద్వితీయము,,False
36179,ద్వితీయా విభక్తి,,False
36180,ద్విత్తము,,False
36181,ద్విత్వము,,False
36182,ద్విదళబీజములు,,False
36183,ద్విదళబీజాలు,,False
36184,ద్విద్ధసంగీతరీతులు,,False
36185,ద్విధ ఆయుధములు,,False
36186,ద్విధకార్యములు,,False
36187,ద్విధాక్షరములు,,False
36188,ద్వినేత్రములు,,False
36189,ద్విపటి,,False
36190,ద్విపద,,False
36191,ద్విపదగుణకము,,False
36192,ద్విపదగుణాంకము,,False
36193,ద్విపదుడు,,False
36194,ద్విపము,,False
36195,ద్విపాత్తు,,False
36196,ద్విముఖపక్షులు,,False
36197,ద్విముఖరుద్రాక్ష,,False
36198,ద్వియోగములు,,False
36199,ద్విరదము,,False
36200,ద్విరసనము,,False
36201,ద్విరేఫము,,False
36202,ద్విర్బద్ధం సుబద్ధం భవతి,,False
36203,ద్విలింగపుష్పము,,False
36204,ద్విలింగి,,False
36205,ద్వివచనము,,False
36206,ద్వివిద దర్శనములు,,False
36207,ద్వివిదుడు,,False
36208,ద్వివిధ అక్షరములు,,False
36209,ద్వివిధ అయనములు,,False
36210,ద్వివిధ ఆత్మలు,,False
36211,ద్వివిధ ఆయుధములు,,False
36212,ద్వివిధ కర్మలు,,False
36213,ద్వివిధ కళలు,,False
36214,ద్వివిధ కాండములు,,False
36215,ద్వివిధ కాంతిరూపులు,,False
36216,ద్వివిధ కార్యములు,,False
36217,ద్వివిధ జాతులు,,False
36218,ద్వివిధ జ్ఞానములు,,False
36219,ద్వివిధ దర్శనములు,,False
36220,ద్వివిధ దానములు,,False
36221,ద్వివిధ దినబాగములు,,False
36222,ద్వివిధ శైవాచారములు,,False
36223,ద్వివిధ సంగీత రీతులు,,False
36224,ద్వివిధ సహజన్ములు,,False
36225,ద్వివిధ హృదయములు,,False
36226,ద్వివిధ-అనుభవము,,False
36227,ద్వివిధ-కావ్యములు,,False
36228,ద్వివిధ-బాధ,,False
36229,ద్వివిధ-రసములు,,False
36230,ద్వివిధ-వైరములు,,False
36231,ద్వివిధకర్మలు,,False
36232,ద్వివిధకళలు,,False
36233,ద్వివిధకాండములు,,False
36234,ద్వివిధకాంతిరూపులు,,False
36235,ద్వివిధకార్యములు,,False
36236,ద్వివిధజన్మదాతలు,,False
36237,ద్వివిధజాతులు,,False
36238,ద్వివిధదానములు,,False
36239,ద్వివిధదినభాగములు,,False
36240,ద్వివిధశృంగారము,,False
36241,ద్వివిధశైవాచారములు,,False
36242,ద్వివిధసంగీతరీతులు,,False
36243,ద్వివిధసహజజన్ములు,,False
36244,ద్వివిధసూర్యరేఖలు,,False
36245,ద్వివిధసోధరులు,,False
36246,ద్వివిధహృదయములు,,False
36247,ద్వివిధాఅత్మలు,,False
36248,ద్వివిధాయనములు,,False
36249,ద్వివిధాయానములు,,False
36250,ద్వివిధాయుధములు,,False
36251,ద్వివిధాహంకారములు,,False
36252,ద్వివైనతేయులు,,False
