Unnamed: 0,word,file_path,saved
64980,శతృత్వము,,False
64981,శతృర్థకము,,False
64982,శతృవు,,False
64983,శత్రుఘ్నుడు,,False
64984,శత్రుడు,,False
64985,శత్రుత్వము,,False
64986,శత్రుభయం,,False
64987,శత్రువు,,False
64988,శత్రువులు,,False
64989,శత్రుసైన్యము,,False
64990,శధిల్యము,,False
64991,శనగ,,False
64992,శనగ పిండి,,False
64993,శనగపప్పు,,False
64994,శనగపప్పు ఉండ,,False
64995,శనగపల్లి,,False
64996,శనగలు,,False
64997,శనగవరపు,,False
64998,శని,,False
64999,శని జ్యోతిషం,,False
65000,శనిగ్రహము,,False
65001,శనిభగవానుడు,,False
65002,శనివారం,,False
65003,శనివారం ఉపవాసము,,False
65004,శనివారము,,False
65005,శనిశరము,,False
65006,శనైశ్చరుడు,,False
65007,శనైశ్ఛరుడు,,False
65008,శపథం,,False
65009,శపథము,,False
65010,శపదము,,False
65011,శపించు,,False
65012,శపించుట,,False
65013,శఫము,,False
65014,శఫరము,,False
65015,శఫరాక్షి,,False
65016,శబరము,,False
65017,శబరి,,False
65018,శబరుడు,,False
65019,శబల,,False
65020,శబలము,,False
65021,శబ్ద కాలుష్యము,,False
65022,శబ్దం,,False
65023,శబ్దకోశము,,False
65024,శబ్దగుణము,,False
65025,శబ్దగ్రహము,,False
65026,శబ్దచోరుడు,,False
65027,శబ్దజము,,False
65028,శబ్దదోషములు,,False
65029,శబ్దపల్లవము,,False
65030,శబ్దమంజరి,,False
65031,శబ్దము,,False
65032,శబ్దరత్నాకరము,,False
65033,శబ్దవేధి,,False
65034,శబ్దశాస్త్రము,,False
65035,శబ్దసంగ్రహము,,False
65036,శబ్దసుఖాశ్రితకురంగగతిన్యాయం,,False
65037,శబ్దాలు,,False
65038,శబ్దించు,,False
65039,శబ్ధకోశము,,False
65040,శబ్ధము,,False
65041,శబ్ధముచేయు,,False
65042,శబ్ధలక్షణము,,False
65043,శబ్ధాలు,,False
65044,శభకవి,,False
65045,శమ,,False
65046,శమం,,False
65047,శమథుడు,,False
65048,శమధము,,False
65049,శమనము,,False
65050,శమనస్వస,,False
65051,శమని,,False
65052,శమనుడు,,False
65053,శమము,,False
65054,శమలము,,False
65055,శమాదిషట్కము,,False
65056,శమి,,False
65057,శమించు,,False
65058,శమితము,,False
65059,శమియించు,,False
65060,శమీ,,False
65061,శమీగర్భుడు,,False
65062,శమీధాన్యము,,False
65063,శమీరము,,False
65064,శముఁడు,,False
65065,శయనము,,False
65066,శయనించు,,False
65067,శయనీయము,,False
65068,శయనైకాదశి,,False
65069,శయము,,False
65070,శయాళువు,,False
65071,శయించు,,False
65072,శయితుడు,,False
65073,శయ్య,,False
65074,శయ్యలు,,False
65075,శర,,False
65076,శరండము,,False
65077,శరండుడు,,False
65078,శరగడం,,False
65079,శరజన్ముడు,,False
65080,శరణము,,False
65081,శరణాగతి,,False
65082,శరణాగతుడు,,False
65083,శరణార్థులు,,False
65084,శరణార్ధి,,False
65085,శరణాలయం,,False
65086,శరణీయుడు,,False
65087,శరణు,,False
65088,శరణుజొచ్చు,,False
65089,శరణుడు,,False
65090,శరణ్యము,,False
65091,శరత్,,False
65092,శరత్కాలము,,False
