Unnamed: 0,word,file_path,saved
43320,పుబ్బ,,False
43321,పుమపత్యము,,False
43322,పుమాంసుడు,,False
43323,పుయిలోట,,False
43324,పుయిలోడు,,False
43325,పుయ్యి,,False
43326,పురంజయుడు,,False
43327,పురంజ్యోతి,,False
43328,పురంట,,False
43329,పురండాలు,,False
43330,పురందరము,,False
43331,పురందరుడు,,False
43332,పురంధరుడు,,False
43333,పురంధ్రి,,False
43334,పురకండము,,False
43335,పురకము,,False
43336,పురకరము,,False
43337,పురగడ్డి,,False
43338,పురట,,False
43339,పురడించు,,False
43340,పురద్విషుడు,,False
43341,పురపుర,,False
43342,పురము,,False
43343,పురరిపుడు,,False
43344,పురవచేప,,False
43345,పురశాసనుడు,,False
43346,పురసత్తు,,False
43347,పురస్కరణము,,False
43348,పురస్కరించు,,False
43349,పురస్కరించుకొని,,False
43350,పురస్కారం,,False
43351,పురస్కారము,,False
43352,పురస్కార్యము,,False
43353,పురస్కృతము,,False
43354,పురస్కృతి,,False
43355,పురస్తాత దపవాదా అనన్తరాన్‌ విధీన్‌ బాధన్తే నోత్తరాన్,,False
43356,పురస్సరుడు,,False
43357,పురహరుడు,,False
43358,పురాంతకుడు,,False
43359,పురాకృతము,,False
43360,పురాణదంపతులు,,False
43361,పురాణపురుషుడు,,False
43362,పురాణభట్టు,,False
43363,పురాణము,,False
43364,పురాణవైరాగ్యన్యాయం,,False
43365,పురాణవైరాగ్యన్యాయము,,False
43366,పురాణసంబందమైన,,False
43367,పురాణాలు,,False
43368,పురాతత్వము,,False
43369,పురాతత్వశాస్త్రము,,False
43370,పురాతన,,False
43371,పురాతన కళాఖండము,,False
43372,పురాతనము,,False
43373,పురాతనమైన,,False
43374,పురాతనుడు,,False
43375,పురారి,,False
43376,పురాలు,,False
43377,పురావృత్తము,,False
43378,పురాసురులు,,False
43379,పురి,,False
43380,పురికొను,,False
43381,పురికొలుపు,,False
43382,పురికొలువు,,False
43383,పురికొల్పు,,False
43384,పురికొస,,False
43385,పురిగట్టు,,False
43386,పురిటి,,False
43387,పురిటిస్నానం,,False
43388,పురిట్లో,,False
43389,పురిడిపిట్ట,,False
43390,పురిపించు,,False
43391,పురిపిట్ట,,False
43392,పురిప్పుకుతిరగడం,,False
43393,పురివిచ్చు,,False
43394,పురివిప్పు,,False
43395,పురివిప్పుట,,False
43396,పురివెట్టు,,False
43397,పురీషనాళము,,False
43398,పురీషము,,False
43399,పురుకుత్చుడు,,False
43400,పురుకుత్సుడు,,False
43401,పురుగుడు,,False
43402,పురుగుపుట్ర,,False
43403,పురుగుమందు,,False
43404,పురుగుమందులు,,False
43405,పురుగులు,,False
43406,పురుజిత్తు,,False
43407,పురుటము,,False
43408,పురుటాలు,,False
43409,పురుటిపురుగు,,False
43410,పురుటియాలు,,False
43411,పురుటిల్లు,,False
43412,పురుడించు,,False
43413,పురుడు,,False
43414,పురుపిండి,,False
43415,పురుభువు,,False
43416,పురుమీఢుడు,,False
43417,పురులు,,False
43418,పురుష,,False
43419,పురుష సర్వనామము,,False
43420,పురుష సూక్తం,,False
43421,పురుషకారము,,False
