Unnamed: 0,word,file_path,saved
66785,సంగము,,False
66786,సంగరము,,False
66787,సంగరావని,,False
66788,సంగవరపు,,False
66789,సంగాతము,,False
66790,సంగాతి,,False
66791,సంగావము,,False
66792,సంగి,,False
66793,సంగిడి,,False
66794,సంగినీడి,,False
66795,సంగీత,,False
66796,సంగీత వాద్యాలు,,False
66797,సంగీత వాయిద్యాలు,,False
66798,సంగీతం,,False
66799,సంగీతకళాశాల,,False
66800,సంగీతకళాశాలలు,,False
66801,సంగీతము,,False
66802,సంగీతులు,,False
66803,సంగీర్ణము,,False
66804,సంగు,,False
66805,సంగుడు,,False
66806,సంగెం,,False
66807,సంగెపు,,False
66808,సంగోరు,,False
66809,సంగ్రహణము,,False
66810,సంగ్రహము,,False
66811,సంగ్రహములు,,False
66812,సంగ్రహరూపము,,False
66813,సంగ్రహాలయము,,False
66814,సంగ్రహించు,,False
66815,సంగ్రహించుట,,False
66816,సంగ్రామం,,False
66817,సంగ్రాహము,,False
66818,సంఘటన,,False
66819,సంఘటనము,,False
66820,సంఘటితం,,False
66821,సంఘట్టనము,,False
66822,సంఘము,,False
66823,సంఘర్షణ,,False
66824,సంఘర్షము,,False
66825,సంఘాటము,,False
66826,సంఘాతము,,False
66827,సంఘీభవించు,,False
66828,సంఘీభావం,,False
66829,సంఘీభావము,,False
66830,సంచకము,,False
66831,సంచకారి,,False
66832,సంచము,,False
66833,సంచయనము,,False
66834,సంచయము,,False
66835,సంచరణము,,False
66836,సంచరము,,False
66837,సంచరించు,,False
66838,సంచలనము,,False
66839,సంచలనవార్త,,False
66840,సంచలించు,,False
66841,సంచార జాతి,,False
66842,సంచారము,,False
66843,సంచారి,,False
66844,సంచారిక,,False
66845,సంచాలం,,False
66846,సంచాలకుడు,,False
66847,సంచి,,False
66848,సంచిక,,False
66849,సంచికట్టు,,False
66850,సంచిత కర్మ,,False
66851,సంచితము,,False
66852,సంచిమొదలు,,False
66853,సంచీ,,False
66854,సంచు,,False
66855,సంచేయము,,False
66856,సంజ,,False
66857,సంజనము,,False
66858,సంజనితము,,False
66859,సంజనితుడు,,False
66860,సంజయుడు,,False
66861,సంజల్పము,,False
66862,సంజవనము,,False
66863,సంజాయిషీ,,False
66864,సంజీవకరణి,,False
66865,సంజీవదేవ్,,False
66866,సంజీవనము,,False
66867,సంజీవని,,False
66868,సంజీవపర్వతము,,False
66869,సంజీవపురుగు,,False
66870,సంజీవప్రభుడు,,False
66871,సంజీవరాయుడు,,False
66872,సంజీవి,,False
66873,సంజీవిని,,False
66874,సంజుడు,,False
66875,సంజుత్సుకము,,False
66876,సంజోక,,False
66877,సంజ్ఞ,,False
66878,సంజ్ఞప్తి,,False
66879,సంజ్ఞాదేవి,,False
66880,సంజ్ఞావాచకము,,False
66881,సంజ్ఞావివరణము,,False
66882,సంజ్వరము,,False
66883,సండ్రచెట్టు,,False
66884,సండ్లు,,False
66885,సంత,,False
66886,సంతకం,,False
66887,సంతకము,,False
66888,సంతకవిటి,,False
66889,సంతక్షణము,,False
66890,సంతతము,,False
66891,సంతతి,,False
66892,సంతన,,False
66893,సంతపడు,,False
66894,సంతపురిటి,,False
66895,సంతప్తము,,False
66896,సంతబొమ్మాళి,,False
66897,సంతమసము,,False
66898,సంతరణము,,False
66899,సంతరించు,,False
66900,సంతర్పణ,,False
66901,సంతసం,,False
66902,సంతసపడు,,False
66903,సంతసము,,False
66904,సంతసించు,,False
66905,సంతాగారము,,False
66906,సంతానం,,False
66907,సంతానకం,,False
66908,సంతానగణపతిమతము,,False
66909,సంతానచతుష్కతీవం,,False
66910,సంతానము,,False
66911,సంతానలక్ష్మి,,False
66912,సంతానహీనుడు,,False
66913,సంతానిక,,False
66914,సంతానిని,,False
66915,సంతానోత్పత్తి,,False
66916,సంతాప సందేశం,,False
66917,సంతాపం,,False
66918,సంతాపదినము,,False
66919,సంతాపనము,,False
66920,సంతాపము,,False
66921,సంతాపసభ,,False
66922,సంతాపాద్యర్ధకము,,False
66923,సంతాపించు,,False
66924,సంతు,,False
66925,సంతుష్ట,,False
66926,సంతుష్టము,,False
66927,సంతృప్త ద్రావణము,,False
66928,సంతృప్తము,,False
66929,సంతృప్తి,,False
66930,సంతోషం,,False
66931,సంతోషంగా,,False
66932,సంతోషకరము,,False
66933,సంతోషపడు,,False
66934,సంతోషపెట్టు,,False
66935,"సంతోషపెట్టు,",,False
66936,సంతోషము,,False
66937,సంతోషముగా,,False
66938,సంతోషముతో,,False
66939,సంతోషమైన,,False
66940,సంతోషించాడు,,False
66941,సంతోషించాను,,False
66942,సంతోషించాము,,False
66943,సంతోషించారు,,False
66944,సంతోషించావు,,False
66945,సంతోషించింది,,False
66946,సంతోషించు,,False
66947,సంతోషించుట,,False
66948,సంతోషింపతగినది,,False
66949,సంతోసము,,False
66950,సంతోసించు,,False
66951,సంత్రాసము,,False
66952,సందంశపతితన్యాయము,,False
66953,సందడి,,False
66954,సందడించు,,False
66955,సందడికాడు,,False
66956,సందడిపడు,,False
66957,సందరగిరి,,False
66958,సందరము,,False
66959,సందర్భం,,False
66960,సందర్భము,,False
66961,సందర్భించు,,False
66962,సందర్భోచితము,,False
66963,సందర్శకులు,,False
66964,సందర్శనము,,False
66965,సందర్శించు,,False
66966,సందాల,,False
66967,సంది,,False
66968,సందికడియము,,False
66969,సందిగ్దము,,False
66970,సందిగ్ధ,,False
66971,సందిగ్ధం సప్రయోజనంచ విచార మర్హతి,,False
66972,సందిగ్ధత,,False
66973,సందిగ్ధము,,False
66974,సందిగ్ధముగా,,False
66975,సందిగ్ధమైన,,False
66976,సందిగ్ధస్య వాక్యశేషా న్నిర్ణయః,,False
66977,సందిగ్ధే న్యాయః ప్రవర్తతే,,False
66978,సందిగ్ధే న్యాయః ప్రవర్తతే న్యాయం,,False
66979,సందిదండ,,False
66980,సందియపడు,,False
66981,సందియము,,False
66982,సందిలి,,False
66983,సందిలిదండలు,,False
66984,సందు,,False
66985,సందుక,,False
66986,సందుకట్టు,,False
66987,సందుకా,,False
66988,సందుకొను,,False
66989,సందుగా,,False
66990,సందుగొట్టు,,False
66991,సందుదోషము,,False
66992,సందులు,,False
66993,సందె,,False
66994,సందెకాడ,,False
66995,సందెడు,,False
66996,సందేశం,,False
66997,సందేశము,,False
66998,సందేశహరుడు,,False
66999,సందేహం,,False
67000,సందేహపడు,,False
67001,సందేహము,,False
67002,సందేహాస్పదము,,False
67003,సందేహాస్పదముగా,,False
67004,సందేహాస్పదమైన,,False
67005,సందేహించక,,False
67006,సందేహించకు,,False
67007,సందేహించని,,False
67008,సందేహించు,,False
67009,సందేహించుట,,False
67010,సందోహం,,False
67011,సందోహము,,False
67012,సంద్య,,False
67013,సంద్రడు,,False
67014,సంద్రము,,False
67015,సంద్రావము,,False
67016,సంధ,,False
67017,సంధర్షణి,,False
67018,సంధాత,,False
67019,సంధానకరణి,,False
67020,సంధానకర్ణి,,False
67021,సంధానము,,False
67022,సంధానిని,,False
67023,సంధాయకుడు,,False
67024,సంధి,,False
67025,సంధించు,,False
67026,సంధితము,,False
67027,సంధిప్రేలాపన,,False
67028,సంధిల,,False
67029,సంధుక్షము,,False
67030,సంధులు,,False
67031,సంధ్య,,False
67032,సంధ్య వేళ,,False
67033,సంధ్యనిద్ర,,False
67034,సంధ్యలు,,False
67035,సంధ్యవేళ,,False
67036,సంధ్యా సమయం,,False
67037,సంధ్యాధిదేవత,,False
67038,సంధ్యారాగము,,False
67039,సంధ్యారాణి,,False
67040,సంధ్యారాముడు,,False
67041,సంధ్యావందనం,,False
67042,సంధ్యావందనము,,False
67043,సంపంగి,,False
67044,సంపంగికటారివీరుడు,,False
67045,సంపతిరాజు,,False
67046,సంపతిల్లు,,False
67047,సంపత్కరము,,False
67048,సంపత్కరమైన,,False
67049,సంపత్తార,,False
67050,సంపత్తి,,False
67051,సంపద,,False
67052,సంపద శుక్రవారము వ్రతము,,False
67053,సంపదపురుగు,,False
67054,సంపదమదము,,False
67055,సంపదలో మరపులు,,False
67056,సంపన్నత,,False
67057,సంపన్నము,,False
67058,సంపన్నుడు,,False
67059,సంపన్నులు,,False
67060,సంపర్కము,,False
67061,సంపాతబిందువు,,False
67062,సంపాతము,,False
67063,సంపాతి,,False
67064,సంపాథకుడు,,False
67065,సంపాదకత్వం,,False
67066,సంపాదకీయం,,False
67067,సంపాదకుడు,,False
67068,సంపాదకులు,,False
67069,సంపాదన,,False
67070,సంపాదనపరుడు,,False
67071,సంపాదనము,,False
67072,సంపాదించని,,False
67073,సంపాదించు,,False
67074,సంపాదించుట,,False
67075,సంపాదితము,,False
67076,సంపాద్యము,,False
67077,సంపాసారి,,False
67078,సంపీడనములు,,False
67079,సంపీడ్యత,,False
67080,సంపు,,False
67081,సంపుటకము,,False
67082,సంపుటము,,False
67083,సంపుటి,,False
67084,సంపుష్టి,,False
67085,సంపూర్ణ,,False
67086,సంపూర్ణ వాక్యము,,False
67087,సంపూర్ణం,,False
67088,సంపూర్ణత,,False
67089,సంపూర్ణము,,False
67090,సంపూర్ణముగా,,False
67091,సంపూర్ణమైన,,False
67092,సంపూర్ణమైనది,,False
67093,సంపూర్ణాంతర పరావర్తనం,,False
67094,సంపూర్తి,,False
67095,సంపృక్తము,,False
67096,సంపెంగ,,False
67097,సంపెట,,False
67098,సంప్రతీతి,,False
67099,సంప్రదాన కారకము,,False
67100,సంప్రదాయం,,False
67101,సంప్రదాయము,,False
67102,సంప్రదించు,,False
67103,సంప్రదింపు,,False
67104,సంప్రముగ్ధము,,False
67105,సంప్రయోగి,,False
67106,సంప్రవదనము,,False
67107,సంప్రసారుడు,,False
67108,సంప్రహాసము,,False
67109,సంప్రాప్తి,,False
67110,సంప్రోక్షించు,,False
67111,సంబందం,,False
67112,సంబంధ,,False
67113,సంబంధ సర్వనామము,,False
67114,సంబంధం,,False
67115,సంబంధకము,,False
67116,సంబంధము,,False
67117,సంబంధములు,,False
67118,సంబంధాలు,,False
67119,సంబంధించిన,,False
67120,సంబంధించు,,False
67121,సంబడము,,False
67122,సంబద్ధత,,False
67123,సంబరం,,False
67124,సంబరపడు.,,False
67125,సంబరము,,False
67126,సంబరములు,,False
67127,సంబరాలు,,False
67128,సంబళము,,False
67129,సంబవులు,,False
67130,సంబాధము,,False
67131,సంబారములు,,False
67132,సంబాళిగలు,,False
67133,సంబుద్ధి,,False
67134,సంబురం,,False
67135,సంబోధన,,False
67136,సంబోధనము,,False
67137,సంబోధనా ప్రథమా విభక్తి,,False
67138,సంబోధించు,,False
