Unnamed: 0,word,file_path,saved
46930,బండము,,False
46931,బండరువు,,False
46932,బండలు,,False
46933,బండవలము,,False
46934,బండాట,,False
46935,బండారము,,False
46936,బండారి,,False
46937,బండారుడు,,False
46938,బండారుపిచ్చిక,,False
46939,బండారుపిచ్చుక,,False
46940,బండాలము,,False
46941,బండి గిరివింద,,False
46942,బండి గురివింద,,False
46943,బండి చక్రము,,False
46944,బండికన్ను,,False
46945,బండికల్లు,,False
46946,బండికిళ్ళు,,False
46947,బండికుంబము,,False
46948,బండిగిల్లు,,False
46949,బండిగురిగింజ,,False
46950,బండిగురివెంద,,False
46951,బండిగురుగింజ,,False
46952,బండిగురువెంద,,False
46953,బండిచక్రము,,False
46954,బండిమీదపోవు,,False
46955,బండిమొగ్గరము,,False
46956,బండిరిక్క,,False
46957,బండు,,False
46958,బండుబండగు,,False
46959,బండెలుక,,False
46960,బండ్లపల్లి,,False
46961,బండ్లు,,False
46962,బంతి ఆట,,False
46963,బంతి గిన్నె కీలు,,False
46964,బంతి చెండు,,False
46965,బంతికుడుపు,,False
46966,బంతిచెట్టు,,False
46967,బంతిపువ్వు,,False
46968,బంతిపువ్వులు,,False
46969,బంతిపూలు,,False
46970,బంతులు,,False
46971,బందం,,False
46972,బందగి,,False
46973,బందడము,,False
46974,బందన,,False
46975,బందనగొను,,False
46976,బందము,,False
46977,బందరు,,False
46978,బందలము,,False
46979,బందా,,False
46980,బందాకోరు,,False
46981,బందారు,,False
46982,బందికాడు,,False
46983,బందికాన,,False
46984,బందిఖానా,,False
46985,బందిగము,,False
46986,బందిపోటు,,False
46987,బందు,,False
46988,బందుకట్టు,,False
46989,బందుకట్టుమాటలు,,False
46990,బందుగుడు,,False
46991,బందుగురాలు,,False
46992,బందువుడు,,False
46993,బందూకు,,False
46994,బందె,,False
46995,బందెకత్తె,,False
46996,బందెకాడు,,False
46997,బందెకాన,,False
46998,బందెగొను,,False
46999,బందెడ,,False
47000,బందెలపోతు,,False
47001,బందెవేయు,,False
47002,బందేఖానా,,False
47003,బందోబస్తు,,False
47004,బంధక మృత్తిక,,False
47005,బంధకము,,False
47006,బంధకవిత్వము,,False
47007,బంధకి,,False
47008,బంధచ్యుతకము,,False
47009,బంధత్రయము,,False
47010,బంధన శక్తి,,False
47011,బంధనభ్రష్టో గృహకపోతః చిల్లాయా ముఖే పపాత,,False
47012,బంధనభ్రష్టో గృహకపోతః చిల్లాయా ముఖే పపాత :,,False
47013,బంధనము,,False
47014,బంధనాలయము,,False
47015,బంధములు,,False
47016,బంధరహితుడు,,False
47017,బంధవిముక్తి,,False
47018,బంధస్తంభము,,False
47019,బంధాలు,,False
47020,బంధించాడు,,False
47021,బంధించాను,,False
47022,బంధించాము,,False
47023,బంధించారు,,False
47024,బంధించావు,,False
47025,బంధించింది,,False
47026,బంధితము,,False
47027,బంధితుడు,,False
47028,బంధుజనము,,False
47029,బంధుజీవకము,,False
47030,బంధుడు,,False
47031,బంధుత,,False
47032,బంధుత్వము,,False
47033,బంధుబలము,,False
47034,బంధుర,,False
47035,బంధురము,,False
47036,బంధులుడు,,False
47037,బంధువు,,False
47038,బంధువులు,,False
47039,బంధూకము,,False
47040,బంబ,,False
47041,బంబరము,,False
47042,బంబాసు,,False
47043,బంబాసుగుండు,,False
47044,బంబుర,,False
47045,బంబోతు,,False
47046,బంభరము,,False
47047,బంభరాలి,,False
47048,బంవావిలి,,False
47049,బః,,False
47050,బకదారి,,False
47051,బకపుష్పము,,False
47052,బకబంధనన్యాయం,,False
47053,బకవృత్తిన్యాయం,,False
47054,బకవృత్తిన్యాయము,,False
47055,బకవైరి,,False
47056,బకవ్రతము,,False
47057,బకవ్రతుడు,,False
47058,బకాను,,False
47059,బకాయ,,False
47060,బకాయి,,False
47061,బకాల్,,False
47062,బకియ,,False
47063,బకుడు,,False
47064,బకురము,,False
47065,బకెట్,,False
47066,బకేడా,,False
47067,బకోటము,,False
47068,బక్,,False
47069,బక్క,,False
47070,బక్కచిక్కిన,,False
47071,బక్కటిల్లు,,False
47072,బక్కపడు,,False
47073,బక్కపల్లి,,False
47074,బక్తరు,,False
47075,బగళము,,False
47076,బగళా,,False
47077,బగార్ ఖానా,,False
47078,బగి,,False
47079,బగితి,,False
47080,బగిస,,False
47081,బగీలుమను,,False
47082,బగుతుడు,,False
47083,బగ్గముపాటు,,False
47084,బగ్గీ,,False
47085,బగ్గుండ,,False
47086,బగ్గున,,False
47087,బగ్గె,,False
47088,బచేలీ,,False
47089,బచ్చలి,,False
47090,బచ్చలికూర పప్పు,,False
47091,బజన,,False
47092,బజనిక,,False
47093,బజాయించు,,False
47094,బజారము,,False
47095,బజారి,,False
47096,బజారుమాట,,False
47097,బజాఱము,,False
47098,బజాఱి,,False
47099,బజాఱించు,,False
47100,బజాఱు,,False
47101,బజాఱుమాట,,False
47102,బజీతి,,False
47103,బజీతు,,False
47104,బజ్జడి,,False
47105,బజ్జారము,,False
47106,బజ్జాఱము,,False
47107,బజ్జి,,False
47108,బజ్జిపిండి,,False
47109,బజ్జీ,,False
47110,బజ్జీమిక్స్,,False
47111,బటతలవాడు,,False
47112,బటర్ చికెన్,,False
47113,బటాకబయలు,,False
47114,బటాణీలు,,False
47115,బటాని,,False
47116,బటాబయలు,,False
47117,బటాబూరము,,False
47118,బటారము,,False
47119,బటువు,,False
47120,బటువుకైదువుజోదు,,False
47121,బటువుగైదువు,,False
47122,బటువుబిల్ల,,False
47123,బటువువాలుదాల్పు,,False
47124,బట్,,False
47125,బట్ట,,False
47126,బట్టకడిమి,,False
47127,బట్టగుత్తు,,False
47128,బట్టతల,,False
47129,బట్టతలవాడు,,False
47130,బట్టబయలు,,False
47131,బట్టబయలుగా,,False
47132,బట్టావు,,False
47133,బట్టి,,False
47134,బట్టికాడు,,False
47135,బట్టినగోల,,False
47136,బట్టు,,False
47137,బట్టె,,False
47138,బట్లె,,False
47139,బట్వాడ,,False
47140,బట్వాడా,,False
47141,బట్వాసంచి,,False
47142,బఠాణీ,,False
47143,బఠానీ,,False
47144,బఠానీ కాయలు,,False
47145,బడ,,False
47146,బడకొయ్య,,False
47147,బడగలు,,False
47148,బడగులు,,False
47149,బడగొండ,,False
47150,బడప,,False
47151,బడబ,,False
47152,బడబడ,,False
47153,బడబాగ్ని,,False
47154,బడబానలము,,False
47155,బడబానలముబడలిక,,False
47156,బడబాముఖము,,False
47157,బడరుడు,,False
47158,బడలించు,,False
47159,బడలిక,,False
47160,బడలిన,,False
47161,బడలు,,False
47162,బడలుపడు,,False
47163,బడవ,,False
47164,బడవా,,False
47165,బడాయి,,False
47166,బడాయించు,,False
47167,బడాయికోరు,,False
47168,బడాయిఖోరు,,False
47169,బడాయిలు,,False
47170,బడి గంట,,False
47171,బడికొను,,False
47172,బడికోలు,,False
47173,బడిత,,False
