Unnamed: 0,word,file_path,saved
70395,స్తనంధయుడు,,False
70396,స్తనకోటి,,False
70397,స్తనపాయి,,False
70398,స్తనము,,False
70399,స్తనములు,,False
70400,స్తనయిత్నువు,,False
70401,స్తనాగ్రము,,False
70402,స్తనాలు,,False
70403,స్తనిత,,False
70404,స్తన్యం,,False
70405,స్తన్యదం,,False
70406,స్తన్యదము,,False
70407,స్తన్యపానం,,False
70408,స్తన్యపానము,,False
70409,స్తన్యము,,False
70410,స్తపది,,False
70411,స్తరణము,,False
70412,స్తరము,,False
70413,స్తవము,,False
70414,స్తవసము,,False
70415,స్తిబ్ధి,,False
70416,స్తిభి,,False
70417,స్తిభిని,,False
70418,స్తిమితము,,False
70419,స్తిరం,,False
70420,స్తీర్వి,,False
70421,స్తుతి,,False
70422,స్తుతించు,,False
70423,స్తుతించుట,,False
70424,స్తుతింపతగినది,,False
70425,స్తుతిపాఠకుడు,,False
70426,స్తుత్యము,,False
70427,స్తువము,,False
70428,స్తూపము,,False
70429,స్తూపవృష్టము,,False
70430,స్తేనుడు,,False
70431,స్తేయం,,False
70432,స్తేయము,,False
70433,స్తైన్యము,,False
70434,స్తోకకము,,False
70435,స్తోత్రము,,False
70436,స్తోత్రముచేయు,,False
70437,స్తోత్రాదిపఠనము,,False
70438,స్తోమము,,False
70439,స్త్రీ,,False
70440,స్త్రీ జననేంద్రియ వ్యవస్థ,,False
70441,స్త్రీకుసుమము,,False
70442,స్త్రీఘోషము,,False
70443,స్త్రీజాతి చతుష్టయము,,False
70444,స్త్రీజాతి చతుష్టయములు,,False
70445,స్త్రీద్వేషి,,False
70446,స్త్రీధనము,,False
70447,స్త్రీపర్వం,,False
70448,స్త్రీపర్వము,,False
70449,స్త్రీభూషణము,,False
70450,స్త్రీలను కోరుట,,False
70451,స్త్రీలనుకోరుట,,False
70452,మూస:స్త్రీలింగం,,False
70453,స్త్రీలింగం,,False
70454,స్త్రీలింగము,,False
70455,స్త్రీలింగములు,,False
70456,స్త్రీలింగాలు,,False
70457,స్త్రీలు,,False
70458,స్త్రీలోలుడు,,False
70459,స్త్రీవశ్యుడు,,False
70460,స్త్రీవాదం,,False
70461,స్త్రీహత్య,,False
70462,స్త్రోత్రం,,False
70463,స్థండిల,,False
70464,స్థండిల వాస్తు,,False
70465,స్థండిలనము,,False
70466,స్థండిలము,,False
70467,స్థంబేరము,,False
70468,స్థంభ మహర్షి,,False
70469,స్థంభం,,False
70470,స్థంభన,,False
70471,స్థంభము,,False
70472,స్థంభాకారాధిచ్చదము,,False
70473,స్థంభింపచేయు,,False
70474,స్థనము,,False
70475,స్థనితము,,False
70476,స్థపతి,,False
70477,స్థము,,False
70478,స్థరాస్థి,,False
70479,స్థలం,,False
70480,స్థలదుర్గము,,False
70481,స్థలపురాణము,,False
70482,స్థలము,,False
70483,స్థలసము,,False
70484,స్థవి,,False
70485,స్థవిర,,False
70486,స్థవిరము,,False
70487,స్థవిరలగుడన్యాయం,,False
70488,స్థవిరలగుడన్యాయము,,False
70489,స్థవిరుడు,,False
70490,స్థవిష్ఠ,,False
70491,స్థవిష్ఠము,,False
70492,స్థాణుడు,,False
70493,స్థాణువు,,False
70494,స్థానం,,False
70495,స్థానకము,,False
70496,స్థానచ్యుతిదూరము,,False
70497,స్థానత్రయము,,False
70498,స్థానబలము,,False
70499,స్థానబ్రంశము,,False
70500,స్థానము,,False
70501,స్థానాపతి,,False
70502,స్థానాసేధము,,False
70503,స్థానిక,,False
70504,స్థానికము,,False
70505,స్థానీయము,,False
70506,స్థాపకుడు,,False
70507,స్థాపన,,False
70508,స్థాపనము,,False
70509,స్థాపించినవాడు,,False
70510,స్థాపించుట,,False
70511,స్థాపితము,,False
70512,స్థాయి,,False
70513,స్థాలీపాకము,,False
70514,స్థాలీపులకన్యాయము,,False
70515,స్థాలీపులాకన్యాయము,,False
70516,స్థావర వాస్తు,,False
70517,స్థావరజంగమవిషన్యాయము,,False
70518,స్థావరము,,False
70519,స్థావరములు,,False
70520,స్థావిరము,,False
70521,స్థి,,False
70522,స్థితకరణ బంధములు,,False
70523,స్థితి,,False
70524,స్థితిగతులు,,False
70525,స్థితిపదుడు,,False
70526,స్థితిస్థాపక తాడనం,,False
70527,స్థితిస్థాపకత,,False
70528,స్థితిస్థాపకస్థితి,,False
70529,స్థితులు,,False
70530,స్థిమితము,,False
70531,స్థిర,,False
70532,స్థిర విద్యుత్,,False
70533,స్థిరత,,False
70534,స్థిరతైలములు,,False
70535,స్థిరదంష్ట్రము,,False
70536,స్థిరపడిన,,False
70537,స్థిరపరచడము,,False
70538,స్థిరపరచు,,False
70539,స్థిరపరచుట,,False
70540,స్థిరపఱచు,,False
70541,స్థిరము,,False
70542,స్థిరముగా,,False
70543,స్థిరములు,,False
70544,స్థిరమైన,,False
70545,స్థిరవారం,,False
70546,స్థిరవారము,,False
70547,స్థిరాస్తి,,False
70548,స్థిరాస్థి,,False
70549,స్థిరాస్థి చట్టము,,False
70550,స్థిరుడు,,False
70551,స్థిరోష్ణక ప్రక్రియ,,False
70552,స్థుతి,,False
70553,స్థూణ,,False
70554,స్థూపము,,False
70555,స్థూల,,False
70556,స్థూల జాతీయోత్పత్తి,,False
70557,స్థూలకాయం,,False
70558,స్థూలకాయుడు,,False
70559,స్థూలదృష్టి,,False
70560,స్థూలనీలము,,False
70561,స్థూలము,,False
70562,స్థూలముగా,,False
70563,స్థూలలక్షుడు,,False
70564,స్థూలాంగము,,False
70565,స్థైర్యము,,False
70566,స్థోమత,,False
70567,స్నపనము,,False
70568,స్నాతకము,,False
70569,స్నాతకుడు,,False
70570,స్నాతకోత్సవం,,False
70571,స్నాతుడు,,False
70572,స్నానఘట్టము,,False
70573,స్నానమాడు,,False
70574,స్నానము,,False
70575,స్నానముచేయు,,False
70576,స్నానాలగది,,False
70577,స్నానాలు,,False
70578,స్నానీయము,,False
70579,స్నాయువు,,False
70580,స్నిగ్ధ,,False
70581,స్నిగ్ధము,,False
70582,స్నుష,,False
70583,స్నుహి,,False
70584,స్నే,,False
70585,స్నేహం,,False
70586,స్నేహంచేయు,,False
70587,స్నేహదీపన్యాయము,,False
70588,స్నేహనము,,False
70589,స్నేహప్రియము,,False
70590,స్నేహము,,False
70591,స్నేహాశయము,,False
70592,స్నేహితుఁడు,,False
70593,స్నేహితుడు,,False
70594,స్నేహితురాలు,,False
70595,స్నో,,False
70596,స్పంద,,False
70597,స్పందన,,False
70598,స్పందనము,,False
70599,స్పందించు,,False
70600,స్పటికము,,False
70601,స్పటికశిల,,False
70602,స్పర్తి,,False
70603,స్పర్థ,,False
70604,స్పర్ధవహించు.,,False
70605,స్పర్శ,,False
70606,స్పర్శకణము,,False
70607,స్పర్శకుడు,,False
70608,స్పర్శచతుష్టయము,,False
70609,స్పర్శము,,False
70610,స్పర్శములు,,False
70611,స్పర్శించుట,,False
70612,స్పష్టం,,False
70613,స్పష్టత,,False
70614,స్పష్టము,,False
70615,స్పష్టముగా,,False
70616,స్పష్టమైన,,False
70617,స్పష్టీకరణ,,False
70618,స్పాటెడ్ స్కన్క్,,False
70619,స్పీకర్,,False
70620,స్పుటి,,False
70621,స్పురణ,,False
70622,స్పురణము,,False
70623,స్పూర్తి,,False
70624,స్పృక్కు,,False
70625,స్పృశము,,False
70626,స్పృశించు,,False
70627,స్పృష్టి,,False
70628,స్పృహ,,False
70629,స్పెయిన్,,False
70630,స్పోటకము,,False
70631,స్ప్రింగ్,,False
70632,స్ఫటికం,,False
70633,స్ఫటికము,,False
70634,స్ఫటికములు,,False
70635,స్ఫటికాలు,,False
70636,స్ఫాలనము,,False
70637,స్ఫాలించు,,False
70638,స్ఫీతము,,False
70639,స్ఫుట,,False
70640,స్ఫుటముగా,,False
70641,స్ఫురణ,,False
70642,స్ఫురణము,,False
70643,స్ఫురితము,,False
70644,స్ఫులింగము,,False
70645,స్ఫూర్తి,,False
70646,స్ఫోటకము,,False
70647,స్ఫోరణము,,False
70648,స్మయనము,,False
70649,స్మయము,,False
70650,స్మరకూపము,,False
70651,స్మరగురువు,,False
70652,స్మరణ,,False
70653,స్మరణ భక్తి,,False
70654,స్మరణం,,False
70655,స్మరణము,,False
70656,స్మరధ్వజము,,False
70657,స్మరము,,False
70658,స్మరసఖుడు,,False
70659,స్మరస్మర్యము,,False
70660,స్మరహరుడు,,False
70661,స్మరాంకుశుడు,,False
70662,స్మరాసవము,,False
70663,స్మరించు,,False
70664,స్మరించుట,,False
70665,స్మరుడు,,False
70666,స్మశానము,,False
70667,స్మారకచిహ్నము,,False
70668,స్మారకము,,False
70669,స్మారాంకుశము,,False
70670,స్మార్థము,,False
70671,స్మితము,,False
70672,స్మృతము,,False
70673,స్మృతి,,False
