Unnamed: 0,word,file_path,saved
7220,అష్టవర్ష పర్వతములు,,False
7221,అష్టవసువులు,,False
7222,అష్టవాస్తువున కంగములు,,False
7223,అష్టవిధ గుణీభూత వ్యంగ్యములు,,False
7224,అష్టవిధ నాయికలు,,False
7225,అష్టవిధ ప్రమాణాలు :,,False
7226,అష్టవిధ బంధములు,,False
7227,అష్టవిధ వివాహాలు,,False
7228,అష్టవిధ స్త్రీమూర్తులు,,False
7229,అష్టవిధ-అర్చనలు,,False
7230,అష్టవిధ-ఆనందములు,,False
7231,అష్టవిధ-ఆయములు,,False
7232,అష్టవిధ-గిరిదుర్గములు,,False
7233,అష్టవిధ-దృష్టిరోగములు,,False
7234,అష్టవిధ-నఖక్షతములు,,False
7235,అష్టవిధ-నియుద్ధములు,,False
7236,అష్టవిధ-ప్రాణాయామములు,,False
7237,అష్టవిధ-భక్తులు,,False
7238,అష్టవిధ-రాజవృత్తములు,,False
7239,అష్టవిధ-శృంగారనాయికలు,,False
7240,అష్టవిధ-శోభనములు,,False
7241,అష్టవిధ-సద్యోవ్రణములు,,False
7242,అష్టవిధగురువులు,,False
7243,అష్టవిధదేవసర్గములు,,False
7244,అష్టవిధనాయికలు,,False
7245,అష్టవిధనియుద్ధములు,,False
7246,అష్టవిధభక్తి,,False
7247,అష్టవిధవివాహములు,,False
7248,అష్టవిధవివాహాలు,,False
7249,అష్టవిధశృంగార నాయికలు,,False
7250,అష్టవిధశృంగారనాయకలు,,False
7251,అష్టవిధానందవేశనము,,False
7252,అష్టవ్యసనములు,,False
7253,అష్టశత-ఉపనిషత్తులు,,False
7254,అష్టశత-కరణములు,,False
7255,అష్టశత-తాళములు,,False
7256,అష్టశత-రాగములు,,False
7257,అష్టశతరాగములు,,False
7258,అష్టసిద్దులు,,False
7259,అష్టసూర్యులు,,False
7260,అష్టసేనాంగములు,,False
7261,అష్టసౌభాగ్యములు,,False
7262,అష్టస్వామ్యాలు,,False
7263,అష్టాంగ మార్గములు,,False
7264,అష్టాంగమార్గములు,,False
7265,అష్టాంగము,,False
7266,అష్టాంగములు,,False
7267,అష్టాంగయోగములు,,False
7268,అష్టాంగహృదయము,,False
7269,అష్టాంగాలు,,False
7270,అష్టాకపాలము,,False
7271,అష్టాక్షరి,,False
7272,అష్టాగ్నిమూర్తులు,,False
7273,అష్టాచెమ్మా,,False
7274,అష్టాత్మలు,,False
7275,అష్టాదశ,,False
7276,అష్టాదశ ఉపపురాణాలు,,False
7277,అష్టాదశ జాతులవారు,,False
7278,అష్టాదశ ధాన్యములు,,False
7279,అష్టాదశ పుణ్యకార్యాలు,,False
7280,అష్టాదశ పురాణాలు,,False
7281,అష్టాదశ వర్ణనలు,,False
7282,అష్టాదశ శక్తిపీఠాలు,,False
7283,అష్టాదశ స్మృతులు,,False
7284,అష్టాదశ-ఆయుర్వేదసంహితలు,,False
7285,అష్టాదశ-ఉపచారములు,,False
7286,అష్టాదశ-ఉపపాతకములు,,False
7287,అష్టాదశ-కావ్యదోషములు,,False
7288,అష్టాదశ-కుష్ఠములు,,False
7289,అష్టాదశ-గళరోగములు,,False
7290,అష్టాదశ-జ్యోతిశ్శాస్త్ర ప్రవర్తకులు,,False
7291,అష్టాదశ-తీర్థములు,,False
7292,అష్టాదశ-దానములు,,False
7293,అష్టాదశ-దోషములు,,False
7294,అష్టాదశ-ద్వీపములు,,False
7295,అష్టాదశ-పర్వములు,,False
7296,అష్టాదశ-ప్రజాపతులు,,False
7297,అష్టాదశ-రసవదలంకారములు,,False
7298,అష్టాదశ-వివాదస్థానములు,,False
7299,అష్టాదశ-శిల్పశాస్త్రాచార్యులు,,False
7300,అష్టాదశ-శృంగార చేష్టలు,,False
7301,అష్టాదశ-స్మృతికర్తలు,,False
7302,అష్టాదశఉపపాతకములు,,False
