Unnamed: 0,word,file_path,saved
57760,రేజేటి,,False
57761,రేజోతి,,False
57762,రేటిల్‌స్నేక్,,False
57763,రేటూరి,,False
57764,రేటెము,,False
57765,రేడాన్,,False
57766,రేడియం,,False
57767,రేడియో,,False
57768,రేడియో తరంగాలు,,False
57769,రేడియో ధార్మికత,,False
57770,రేడియో ప్రసారిణి,,False
57771,రేడియోఐయోడీన్,,False
57772,రేడియోయాక్టినియం,,False
57773,రేడియోస్టాండు,,False
57774,రేడు,,False
57775,రేణము,,False
57776,రేణుక,,False
57777,రేణువాసము,,False
57778,రేణువు,,False
57779,రేతస్సు,,False
57780,రేతోవాహిని,,False
57781,రేత్రము,,False
57782,రేదొర,,False
57783,రేద్రిమ్మరి,,False
57784,రేద్రిమ్మరీడు,,False
57785,రేపకడ,,False
57786,రేపాల,,False
57787,రేపు,,False
57788,రేపు తరువాత రోజు,,False
57789,రేపురాత్రి,,False
57790,రేపులుగు,,False
57791,రేఫము,,False
57792,రేబాల,,False
57793,రేభుడు,,False
57794,రేమగడు,,False
57795,రేమన్నియ,,False
57796,రేమళ్ళ,,False
57797,రేమెల,,False
57798,రేమెల్ల,,False
57799,రేమెళ్ళ,,False
57800,రేయి,,False
57801,రేయింద్రిమ్మరి,,False
57802,రేయెండ,,False
57803,రేయేలిక,,False
57804,రేరా,,False
57805,రేరాచఱాయి,,False
57806,రేరాజు,,False
57807,రేరాయుడు,,False
57808,రేరిహాణుడు,,False
57809,రేఱేడు,,False
57810,రేల,,False
57811,రేల చెట్టు,,False
57812,రేలంగి,,False
57813,రేలేటి,,False
57814,రేవ,,False
57815,రేవంతుడు,,False
57816,రేవడి,,False
57817,రేవడిచెట్టు,,False
57818,రేవడు,,False
57819,రేవణూరి,,False
57820,రేవతి,,False
57821,రేవతి నక్షత్రము,,False
57822,రేవతిరమణుడు,,False
57823,రేవల్చిన్ని,,False
57824,రేవు,,False
57825,రేవుపట్టణము,,False
57826,రేవూరి,,False
57827,రేవూరు,,False
57828,రేవెల్గు,,False
57829,రేసు,,False
57830,రేసుకుక్క,,False
57831,రేసుగుడ్డ,,False
57832,రై,,False
57833,రైక,,False
57834,రైకామ్లము,,False
57835,రైకె,,False
57836,రైతా,,False
57837,రైతు,,False
57838,రైతుబిడ్డ,,False
57839,రైబో కేంద్రక ఆమ్లం,,False
57840,రైబోజు చక్కర,,False
57841,రైలు,,False
57842,రైలు నిలయము,,False
57843,రైలు పట్టాలు,,False
57844,రైలుపట్టాలు,,False
57845,రైలుబండి,,False
57846,రైలుమార్గము,,False
57847,రైల్,,False
57848,రైల్వే గేటు,,False
57849,రైల్వే సిగ్నలింగ్ మరియు టెలీకమ్యూనికేషన్ పదకోశం,,False
57850,రైల్వే స్టేషను,,False
57851,రైల్వేశాఖ మంత్రి:,,False
57852,రైళ్ళు,,False
57853,రైవత మన్వంతరము,,False
57854,రైవతక్రము,,False
57855,రొ,,False
57856,రొంగల,,False
57857,రొంజు,,False
57858,రొంజుడు,,False
57859,రొండా,,False
57860,రొండి,,False
57861,రొండు,,False
57862,రొంత,,False
57863,రొంప,,False
57864,రొంపి,,False
57865,రొంపిదుక్కి,,False
57866,రొంపిమాను,,False
57867,రొక్కపుదొర,,False
57868,రొక్కము,,False
57869,రొక్కారొక్కములు,,False
57870,రొచ్చు,,False
57871,రొచ్చుపురుగు,,False
57872,రొజ్జ,,False
57873,రొట్ట,,False
57874,రొట్టియ,,False
57875,రొట్టె,,False
57876,రొట్టె విరిగి నేతిలో పడ్డట్లు,,False
57877,రొట్టెలు,,False
57878,రొట్టెలు చేయువాడు,,False
57879,రొడ్డ,,False
57880,రొడ్డు,,False
57881,రొద,,False
57882,రొదలు,,False
57883,రొదాళము,,False
57884,రొదాళించు,,False
57885,రొద్దము,,False
57886,రొప్పు,,False
57887,రొమేనియా,,False
57888,రొమ్ము,,False
57889,రొమ్ములు,,False
57890,రొయ్య,,False
57891,రొయ్య పొట్టు,,False
57892,రొయ్యలచెరువు,,False
57893,రొయ్యలు,,False
57894,రొయ్యి,,False
57895,రొల్లు,,False
57896,రొష్టు,,False
57897,రో,,False
57898,రోంగి,,False
57899,రోక,,False
57900,రోకటిబండ,,False
57901,రోకము,,False
57902,రోకలి,,False
57903,రోకలిబండ,,False
57904,రోకళ్ళు,,False
